date,country,location,severity,id,city,timestamp,temperature,humidity,precipitation,flood_risk
2019-03-06,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2022-12-23,Nigeria,Bayelsa,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-04-10,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-05-24,Nigeria,Rivers,High,,,,0.4752616713439961,0.0,0.0,1
2016-11-03,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-03-23,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2014-09-15,Nigeria,Lagos,Medium,46.0,Lagos,2014-09-15,0.4837510290762994,0.5466823335751956,0.011477133445655478,1
2021-09-22,Nigeria,Lagos,Medium,697.0,Lagos,2021-09-22,0.6058937278067527,0.5069091066613245,0.049763447537107736,1
2017-09-15,Nigeria,Bayelsa,Medium,3082.0,Bayelsa,2017-09-15,0.4936933331197535,0.5295471036073609,0.00026283512058247396,1
2022-06-03,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2022-11-07,Nigeria,Bayelsa,High,,,,0.4752616713439961,0.0,0.0,1
2017-04-20,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-08-06,Nigeria,Lagos,Medium,650.0,Lagos,2021-08-06,0.6442027780604205,0.5926271672857624,0.007885053433739157,1
2021-05-25,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2022-03-29,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2016-09-20,Nigeria,Lagos,Medium,235.0,Lagos,2016-09-20,0.5304048192694975,0.49311775089615484,0.007184159840097581,1
2019-09-04,Nigeria,Lagos,High,495.0,Lagos,2019-09-04,0.5276507640489649,0.6617279805932492,0.0005256702411649479,1
2020-09-24,Nigeria,Lagos,Medium,607.0,Lagos,2020-09-24,0.5496556810539186,0.5385189356609885,0.005519537440364422,1
2022-08-28,Nigeria,Benue,Medium,2604.0,Benue,2022-08-28,0.1909392553379421,0.8121192020706314,0.005081478875437789,1
2019-11-19,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-11-14,Nigeria,Bayelsa,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-05-25,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-07-25,Nigeria,Benue,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-08-10,Nigeria,Bayelsa,Medium,2862.0,Bayelsa,2015-08-10,0.2896173223688532,0.6033764714800895,0.0008761170563592424,1
2022-05-17,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-08-15,Nigeria,Lagos,Medium,659.0,Lagos,2021-08-15,0.5369044978840902,0.41383976434659253,0.0075346067287859,1
2019-03-28,Nigeria,Rivers,High,,,,0.4752616713439961,0.0,0.0,1
2020-09-28,Nigeria,Lagos,Medium,611.0,Lagos,2020-09-28,0.5403471233129524,0.5803996144640946,0.00455580863427284,1
2023-02-07,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2019-08-15,Nigeria,Rivers,High,1395.0,Rivers,2019-08-15,0.33605068887478584,0.702359782973609,0.0,1
2017-12-13,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-09-21,Nigeria,Rivers,Medium,1616.0,Rivers,2021-09-21,0.4635363494904423,0.8076966395564176,0.08682319926363398,1
2021-08-16,Nigeria,Benue,Medium,2500.0,Benue,2021-08-16,0.5129717196634855,0.702690087611952,0.1966882747062614,1
2020-03-25,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-06-09,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2018-05-12,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2017-03-21,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-05-27,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-06-02,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-05-06,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-08-28,Nigeria,Benue,High,2144.0,Benue,2017-08-28,0.14863685885641864,0.8762819610348833,0.059926407125333946,1
2021-04-15,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-10-20,Nigeria,Rivers,High,1093.0,Rivers,2015-10-20,0.22759569196906515,0.809752433966147,0.010162957750875577,1
2020-10-13,Nigeria,Lagos,Medium,626.0,Lagos,2020-10-13,0.5824015713478987,0.4946828533988894,0.0,1
2022-11-08,Nigeria,Rivers,High,,,,0.4752616713439961,0.0,0.0,1
2019-01-20,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-10-29,Nigeria,Lagos,Medium,642.0,Lagos,2020-10-29,0.8491877827069159,0.5822583090568454,0.0,1
2020-08-16,Nigeria,Rivers,Medium,1488.0,Rivers,2020-08-16,0.4155329436398967,0.6347973229079802,0.0021902926408981062,1
2018-10-28,Nigeria,Lagos,Medium,457.0,Lagos,2018-10-28,1.0,0.37221704805120304,0.001577010723494844,1
2019-05-09,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2016-09-14,Nigeria,Lagos,Medium,229.0,Lagos,2016-09-14,0.5026163186175898,0.5813770454520846,0.060977746505253456,1
2018-07-04,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-09-10,Nigeria,Lagos,Medium,685.0,Lagos,2021-09-10,0.6669788395516347,0.6779221130833131,0.0010513404823298959,1
2017-10-03,Nigeria,Benue,Medium,2180.0,Benue,2017-10-03,0.7303498599959886,0.29940945862528334,0.0,1
2018-05-05,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-05-19,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-06-21,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2014-09-04,Nigeria,Rivers,Medium,955.0,Rivers,2014-09-04,0.22506206043579802,0.7351953129230333,0.0020150692884214776,1
2020-10-13,Nigeria,Bayelsa,High,3386.0,Bayelsa,2020-10-13,0.3272653271735022,0.8324429547645096,0.0,1
2020-06-11,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-02-23,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-02-24,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2022-09-06,Nigeria,Rivers,Medium,1693.0,Rivers,2022-09-06,0.4292756949832519,0.7191398000844718,0.012265638348065244,1
2017-04-02,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-04-04,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-08-12,Nigeria,Lagos,Medium,472.0,Lagos,2019-08-12,0.40327743175044173,0.47747701404606957,0.0,1
2019-01-29,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2019-02-22,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-06-14,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2023-01-24,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-06-13,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2016-12-04,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-06-06,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-07-05,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2018-05-22,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-03-01,Nigeria,Bayelsa,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-07-08,Nigeria,Rivers,High,,,,0.4752616713439961,0.0,0.0,1
2022-09-22,Nigeria,Benue,High,2629.0,Benue,2022-09-22,0.7430735184065069,0.4822103878101345,0.031014542942586487,1
2016-11-28,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-08-06,Nigeria,Benue,Medium,1938.0,Benue,2015-08-06,0.601597383613699,0.29194327423948696,0.0032416331232280023,1
2016-03-08,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-05-29,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-11-21,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2016-11-28,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-06-26,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-02-02,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-01-02,Nigeria,Benue,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-06-26,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-08-07,Nigeria,Rivers,Medium,1387.0,Rivers,2019-08-07,0.3728174501559325,0.7944855369887049,0.06141580580512035,1
2017-05-05,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-10-01,Nigeria,Lagos,Medium,706.0,Lagos,2021-10-01,0.5516663421602832,0.6097496724027769,0.3063781256940018,1
2020-03-11,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-10-05,Nigeria,Rivers,Medium,1630.0,Rivers,2021-10-05,0.543403950885903,0.8656602302385776,8.761170563592424e-05,1
2022-05-21,Nigeria,Rivers,High,,,,0.4752616713439961,0.0,0.0,1
2021-03-01,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-12-19,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-09-07,Nigeria,Rivers,Medium,1510.0,Rivers,2020-09-07,0.3985404657956355,0.8246683416541227,0.0,1
2019-02-11,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2022-06-24,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2018-02-18,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2016-03-09,Nigeria,Rivers,High,,,,0.4752616713439961,0.0,0.0,1
2015-03-17,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-09-14,Nigeria,Rivers,High,1517.0,Rivers,2020-09-14,0.42115115311820617,0.761756679192974,0.01331697956533539,1
2021-07-14,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2017-10-04,Nigeria,Lagos,Medium,341.0,Lagos,2017-10-04,0.7491050505000372,0.609944877029208,0.001927457520315632,1
2020-05-04,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-06-19,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-10-24,Nigeria,Rivers,Medium,1281.0,Rivers,2017-10-24,0.48198854202929287,1.0,0.0008761170563592424,1
2022-08-19,Nigeria,Rivers,Medium,1675.0,Rivers,2022-08-19,0.44012676730952016,0.577577729886614,0.0005256702411649479,1
2022-11-13,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2020-10-08,Nigeria,Bayelsa,Medium,3381.0,Bayelsa,2020-10-08,0.30038559480440874,0.9687228581639395,0.0,1
2022-07-09,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-11-03,Nigeria,Bayelsa,High,,,,0.4752616713439961,0.0,0.0,1
2019-10-12,Nigeria,Bayelsa,Medium,3293.0,Bayelsa,2019-10-12,0.30300180061560766,0.8300761325117234,0.056772385310874134,1
2021-07-08,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-08-22,Nigeria,Rivers,Medium,1310.0,Rivers,2018-08-22,0.15857893728709183,0.8826048581855988,0.05212896297927728,1
2020-07-21,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2014-08-15,Nigeria,Benue,Medium,1855.0,Benue,2014-08-15,0.4530983741666148,0.22091938400892364,0.0012265638348065242,1
2017-10-19,Nigeria,Rivers,Medium,1276.0,Rivers,2017-10-19,0.40939131250912286,0.9585159033561119,0.0014017872791506842,1
2019-07-24,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-08-08,Nigeria,Benue,Medium,2308.0,Benue,2019-08-08,0.28914917584779154,0.7023695296678545,0.0024531276696130484,1
2020-07-13,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-11-04,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-03-22,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-08-21,Nigeria,Lagos,Medium,481.0,Lagos,2019-08-21,0.5164693946109686,0.6121698307324106,0.00113895215856821,1
2022-04-06,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-02-09,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-01-30,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-08-01,Nigeria,Lagos,Medium,645.0,Lagos,2021-08-01,0.5744424036514983,0.5422443387950926,0.005431925764126108,1
2015-09-02,Nigeria,Lagos,Medium,125.0,Lagos,2015-09-02,0.38361324735079805,0.6152465372161284,0.014368319680195162,1
2017-04-13,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-09-02,Nigeria,Lagos,Medium,677.0,Lagos,2021-09-02,0.22321677349807967,0.7758422768277766,1.0,1
2017-09-13,Nigeria,Rivers,High,1240.0,Rivers,2017-09-13,0.13544482831205773,0.8498218520885006,0.004993867199199474,1
2020-08-28,Nigeria,Lagos,Medium,580.0,Lagos,2020-08-28,0.40886811646943944,0.520035142247588,0.0008761170563592424,1
2021-07-15,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-03-27,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-05-15,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2022-10-03,Nigeria,Bayelsa,High,3560.0,Bayelsa,2022-10-03,0.3475903314093829,0.7393557435103268,0.001664622399733158,1
